,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_max_samples,param_min_samples_leaf,param_min_samples_split,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,split10_test_accuracy,split11_test_accuracy,split12_test_accuracy,split13_test_accuracy,split14_test_accuracy,split15_test_accuracy,split16_test_accuracy,split17_test_accuracy,split18_test_accuracy,split19_test_accuracy,split20_test_accuracy,split21_test_accuracy,split22_test_accuracy,split23_test_accuracy,split24_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,split5_test_f1_macro,split6_test_f1_macro,split7_test_f1_macro,split8_test_f1_macro,split9_test_f1_macro,split10_test_f1_macro,split11_test_f1_macro,split12_test_f1_macro,split13_test_f1_macro,split14_test_f1_macro,split15_test_f1_macro,split16_test_f1_macro,split17_test_f1_macro,split18_test_f1_macro,split19_test_f1_macro,split20_test_f1_macro,split21_test_f1_macro,split22_test_f1_macro,split23_test_f1_macro,split24_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
14,0.6786240196228027,0.013940961382479642,0.026782512664794922,0.0014001779230687459,5,sqrt,,5,2,"{'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.5918367346938775,0.4897959183673469,0.4897959183673469,0.5306122448979592,0.6041666666666666,0.5306122448979592,0.5714285714285714,0.5102040816326531,0.5102040816326531,0.5416666666666666,0.5102040816326531,0.5306122448979592,0.42857142857142855,0.5714285714285714,0.5625,0.40816326530612246,0.4897959183673469,0.5306122448979592,0.5918367346938775,0.625,0.6122448979591837,0.5102040816326531,0.6122448979591837,0.5510204081632653,0.4375,0.5336904761904762,0.05675716634333421,1,0.5595397356266921,0.49459607691315005,0.42403893746906457,0.5118960084033614,0.530411877394636,0.46636661211129293,0.542777123901196,0.4318798449612403,0.4838302378624959,0.4618288144603934,0.42978454671424543,0.4854166666666666,0.382702979477173,0.5004309416074122,0.5642857142857143,0.3771825396825397,0.46548102981029804,0.4852098571926158,0.47858144098682365,0.5335765550239234,0.5602737905369484,0.4791239515377447,0.6000706588941882,0.4986344537815126,0.3578263841421736,0.4842298711777401,0.05964097549335106,1
15,0.6715954113006591,0.013131532507361755,0.0266890811920166,0.0013349866251787818,5,sqrt,,5,5,"{'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 5, 'min_samples_split': 5}",0.5918367346938775,0.4897959183673469,0.4897959183673469,0.5306122448979592,0.6041666666666666,0.5306122448979592,0.5714285714285714,0.5102040816326531,0.5102040816326531,0.5416666666666666,0.5102040816326531,0.5306122448979592,0.42857142857142855,0.5714285714285714,0.5625,0.40816326530612246,0.4897959183673469,0.5306122448979592,0.5918367346938775,0.625,0.6122448979591837,0.5102040816326531,0.6122448979591837,0.5510204081632653,0.4375,0.5336904761904762,0.05675716634333421,1,0.5595397356266921,0.49459607691315005,0.42403893746906457,0.5118960084033614,0.530411877394636,0.46636661211129293,0.542777123901196,0.4318798449612403,0.4838302378624959,0.4618288144603934,0.42978454671424543,0.4854166666666666,0.382702979477173,0.5004309416074122,0.5642857142857143,0.3771825396825397,0.46548102981029804,0.4852098571926158,0.47858144098682365,0.5335765550239234,0.5602737905369484,0.4791239515377447,0.6000706588941882,0.4986344537815126,0.3578263841421736,0.4842298711777401,0.05964097549335106,1
13,0.7198136806488037,0.025010202938045047,0.027143535614013673,0.0015406478373603937,5,sqrt,,1,5,"{'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.6122448979591837,0.5102040816326531,0.4897959183673469,0.46938775510204084,0.5416666666666666,0.5510204081632653,0.5918367346938775,0.4489795918367347,0.4897959183673469,0.5833333333333334,0.5102040816326531,0.6122448979591837,0.42857142857142855,0.5714285714285714,0.5625,0.3877551020408163,0.46938775510204084,0.5714285714285714,0.6122448979591837,0.6041666666666666,0.6122448979591837,0.5510204081632653,0.5714285714285714,0.5102040816326531,0.4583333333333333,0.5328571428571428,0.06331654808003177,4,0.5993798449612403,0.5301834508400856,0.3874458874458874,0.43462481146304677,0.4252639940192505,0.5065764023210831,0.5802447552447553,0.3677380952380952,0.4677108927108927,0.4948688926617619,0.433531746031746,0.5840848806366047,0.38854422604422606,0.47658730158730156,0.5737583205325141,0.3107142857142857,0.4391843586452059,0.5625891265597148,0.4958333333333333,0.45434782608695656,0.5765319094838546,0.5447232947232947,0.5687767094017093,0.4730733082706766,0.3687094235687586,0.4818010831010512,0.07901271509903314,3
10,0.6121103382110595,0.012594509521331218,0.02655397415161133,0.0011186257120529887,5,sqrt,0.6,5,2,"{'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.6, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.6122448979591837,0.4897959183673469,0.46938775510204084,0.4897959183673469,0.5416666666666666,0.5102040816326531,0.5306122448979592,0.5306122448979592,0.4489795918367347,0.5,0.5102040816326531,0.5306122448979592,0.4489795918367347,0.5510204081632653,0.625,0.42857142857142855,0.4897959183673469,0.4897959183673469,0.6326530612244898,0.6458333333333334,0.5306122448979592,0.5306122448979592,0.6122448979591837,0.5102040816326531,0.4583333333333333,0.5247108843537415,0.05904451346107573,16,0.5855504144977829,0.5077380952380952,0.39919842710223835,0.466859243697479,0.4878306878306878,0.43423392997861077,0.5031203007518796,0.4707473420888055,0.4158044684360474,0.42269087269087274,0.4329268292682927,0.46429349517584806,0.4038486979913126,0.4869393687707641,0.6119047619047618,0.4175925925925926,0.47250483933410764,0.45668498168498173,0.5242063492063492,0.5909595959595959,0.45871844244758236,0.4990674885411728,0.6000706588941882,0.46637806637806634,0.3674537133347202,0.4778929465518734,0.06363560461223543,4
11,0.6125419807434082,0.011697975388201456,0.026835031509399414,0.0014681305858174236,5,sqrt,0.6,5,5,"{'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.6, 'min_samples_leaf': 5, 'min_samples_split': 5}",0.6122448979591837,0.4897959183673469,0.46938775510204084,0.4897959183673469,0.5416666666666666,0.5102040816326531,0.5306122448979592,0.5306122448979592,0.4489795918367347,0.5,0.5102040816326531,0.5306122448979592,0.4489795918367347,0.5510204081632653,0.625,0.42857142857142855,0.4897959183673469,0.4897959183673469,0.6326530612244898,0.6458333333333334,0.5306122448979592,0.5306122448979592,0.6122448979591837,0.5102040816326531,0.4583333333333333,0.5247108843537415,0.05904451346107573,16,0.5855504144977829,0.5077380952380952,0.39919842710223835,0.466859243697479,0.4878306878306878,0.43423392997861077,0.5031203007518796,0.4707473420888055,0.4158044684360474,0.42269087269087274,0.4329268292682927,0.46429349517584806,0.4038486979913126,0.4869393687707641,0.6119047619047618,0.4175925925925926,0.47250483933410764,0.45668498168498173,0.5242063492063492,0.5909595959595959,0.45871844244758236,0.4990674885411728,0.6000706588941882,0.46637806637806634,0.3674537133347202,0.4778929465518734,0.06363560461223543,4
12,0.7148211860656738,0.012986777123143195,0.026692399978637694,0.0009691427538121753,5,sqrt,,1,2,"{'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.6326530612244898,0.5510204081632653,0.42857142857142855,0.5102040816326531,0.5625,0.5306122448979592,0.5714285714285714,0.4489795918367347,0.5102040816326531,0.5833333333333334,0.5102040816326531,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.6041666666666666,0.3877551020408163,0.46938775510204084,0.5306122448979592,0.6326530612244898,0.625,0.5714285714285714,0.5306122448979592,0.5714285714285714,0.5306122448979592,0.4583333333333333,0.5329251700680272,0.06501439322766919,3,0.6109890109890109,0.5841735783596249,0.33277158413274566,0.500620347394541,0.4915587580061264,0.46636661211129293,0.5879079254079254,0.3430843267539574,0.5083710620637616,0.4815629968203498,0.433105138607167,0.5178571428571428,0.39271089271089266,0.48162039110314975,0.5826956826956827,0.3107142857142857,0.43623056894219014,0.46374521072796937,0.5232945167797542,0.4822898032200358,0.5116123642439432,0.5107256831394762,0.5346497252747253,0.48661926308985126,0.3674537133347202,0.4777092233792129,0.07839791055311822,6
2,0.5660611534118652,0.010990427915193186,0.026926555633544923,0.0013543539359339993,5,5,0.6,5,2,"{'max_depth': 5, 'max_features': 5, 'max_samples': 0.6, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.5918367346938775,0.5102040816326531,0.46938775510204084,0.5510204081632653,0.5833333333333334,0.5306122448979592,0.5102040816326531,0.5306122448979592,0.4897959183673469,0.5416666666666666,0.46938775510204084,0.5714285714285714,0.4489795918367347,0.5714285714285714,0.5625,0.40816326530612246,0.4897959183673469,0.5102040816326531,0.6530612244897959,0.6458333333333334,0.4897959183673469,0.5102040816326531,0.5306122448979592,0.5918367346938775,0.4791666666666667,0.5296428571428571,0.057227640981551794,6,0.5589631782945736,0.5188492063492064,0.3881406141996643,0.5192652848000896,0.5238359201773836,0.46636661211129293,0.48899108138238573,0.4568088915915003,0.45334950334950336,0.4605965477108853,0.39016521098600443,0.5055764019178653,0.38241758241758245,0.5069393687707642,0.5546319046319046,0.3185834109972041,0.47250483933410764,0.5108797029528737,0.5428324705522548,0.5909595959595959,0.40453390658589017,0.47272026219394636,0.5232447817836812,0.5244315680942533,0.39891304347826084,0.47738003562490694,0.06493089616309186,7
3,0.5630570316314697,0.013056232752281412,0.026985044479370116,0.0013485921863511257,5,5,0.6,5,5,"{'max_depth': 5, 'max_features': 5, 'max_samples': 0.6, 'min_samples_leaf': 5, 'min_samples_split': 5}",0.5918367346938775,0.5102040816326531,0.46938775510204084,0.5510204081632653,0.5833333333333334,0.5306122448979592,0.5102040816326531,0.5306122448979592,0.4897959183673469,0.5416666666666666,0.46938775510204084,0.5714285714285714,0.4489795918367347,0.5714285714285714,0.5625,0.40816326530612246,0.4897959183673469,0.5102040816326531,0.6530612244897959,0.6458333333333334,0.4897959183673469,0.5102040816326531,0.5306122448979592,0.5918367346938775,0.4791666666666667,0.5296428571428571,0.057227640981551794,6,0.5589631782945736,0.5188492063492064,0.3881406141996643,0.5192652848000896,0.5238359201773836,0.46636661211129293,0.48899108138238573,0.4568088915915003,0.45334950334950336,0.4605965477108853,0.39016521098600443,0.5055764019178653,0.38241758241758245,0.5069393687707642,0.5546319046319046,0.3185834109972041,0.47250483933410764,0.5108797029528737,0.5428324705522548,0.5909595959595959,0.40453390658589017,0.47272026219394636,0.5232447817836812,0.5244315680942533,0.39891304347826084,0.47738003562490694,0.06493089616309186,7
0,0.5907604789733887,0.04601435304154031,0.027132606506347655,0.0019448286554188431,5,5,0.6,1,2,"{'max_depth': 5, 'max_features': 5, 'max_samples': 0.6, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.6530612244897959,0.4897959183673469,0.4489795918367347,0.46938775510204084,0.5,0.4897959183673469,0.5102040816326531,0.5306122448979592,0.5102040816326531,0.5833333333333334,0.5102040816326531,0.6122448979591837,0.4897959183673469,0.5918367346938775,0.5625,0.40816326530612246,0.4897959183673469,0.5102040816326531,0.6326530612244898,0.6041666666666666,0.5510204081632653,0.5510204081632653,0.5714285714285714,0.5714285714285714,0.4375,0.5311734693877551,0.06083584602822212,5,0.6276652269299329,0.5095588235294117,0.37749477533960296,0.46656167108753316,0.3873815676141258,0.41766381766381766,0.4818696450428397,0.4629446640316206,0.4813355881867679,0.49181286549707603,0.42493540051679585,0.5810852713178294,0.42500000000000004,0.5310606060606061,0.544025419025419,0.31961313540260905,0.46195538878465714,0.4706698564593301,0.5076934221964648,0.5134502923976608,0.5019744483159118,0.501093951093951,0.5687767094017093,0.5176651305683563,0.3571271723445637,0.47721659395234367,0.06997211310464727,9
9,0.6462415218353271,0.01078619233913561,0.02679842948913574,0.0011292515313112309,5,sqrt,0.6,1,5,"{'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.6, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.6326530612244898,0.5102040816326531,0.5102040816326531,0.4489795918367347,0.5416666666666666,0.5102040816326531,0.6122448979591837,0.4897959183673469,0.46938775510204084,0.5208333333333334,0.5102040816326531,0.5510204081632653,0.46938775510204084,0.5918367346938775,0.5833333333333334,0.40816326530612246,0.46938775510204084,0.5306122448979592,0.6122448979591837,0.5833333333333334,0.6326530612244898,0.5102040816326531,0.5918367346938775,0.4897959183673469,0.4583333333333333,0.5295408163265306,0.06045016772140829,9,0.6109890109890109,0.5443181818181818,0.44068100358422935,0.4241106915739269,0.4257518796992481,0.43423392997861077,0.6071692535107169,0.39997508305647844,0.44854012095391405,0.44313081554460865,0.4318394024276377,0.4589311151811152,0.41902472527472523,0.532926642990797,0.5687113066145324,0.3247354497354497,0.4391843586452059,0.4972583898771318,0.5054652213188798,0.49027777777777776,0.5896555222236715,0.4700330424468355,0.584662413609782,0.4557379492817082,0.3674537133347202,0.47659188005795583,0.07374199427605589,10
